"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"Lang"
"RT @andreamrau: T-minus 1 day until the Rencontres R in Toulouse, looking forward to a great conference! #RR2016 #rstats https://t.co/qj9WN…";FALSE;0;NA;2016-06-22 14:01:23;FALSE;NA;"745617686202310656";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"geraudster";5;TRUE;FALSE;NA;NA;"EN"
"RT @Natty_V2: @Lionning13 #RR2016 #rstats The place to be!";FALSE;0;NA;2016-06-22 13:59:13;FALSE;NA;"745617140892442624";NA;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";"Xtophe_Bontemps";3;TRUE;FALSE;NA;NA;"EN"
"RT @Natty_V2: @Lionning13 #RR2016 #rstats The place to be!";FALSE;0;NA;2016-06-22 13:19:31;FALSE;NA;"745607147631828992";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"ValRobert974";3;TRUE;FALSE;NA;NA;"EN"
"RT @Natty_V2: @Lionning13 #RR2016 #rstats The place to be!";FALSE;0;NA;2016-06-22 12:55:32;FALSE;NA;"745601113701875712";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"andreamrau";3;TRUE;FALSE;NA;NA;"EN"
"@Lionning13 #RR2016 #rstats The place to be!";FALSE;4;"Lionning13";2016-06-22 12:44:11;FALSE;"745555991572291584";"745598255774445568";"566605603";"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"Natty_V2";3;FALSE;FALSE;NA;NA;"EN"
"@Lionning13 did you succeed to download the material for the R tutorial? #RR2016 #rstats";FALSE;1;"Lionning13";2016-06-22 09:23:35;FALSE;NA;"745547774318415872";"566605603";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"melinaGALLOPIN";0;FALSE;FALSE;NA;NA;"EN"
"@melinaGALLOPIN @andreamrau @Natty_V2 I also like the double hashtag #RR2016 #rstats :)";FALSE;1;"melinaGALLOPIN";2016-06-22 07:28:47;FALSE;"745494301333852161";"745518883818209280";"36752136";"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"alinedeschamps";0;FALSE;FALSE;NA;NA;"EN"
"RT @andreamrau: T-minus 1 day until the Rencontres R in Toulouse, looking forward to a great conference! #RR2016 #rstats https://t.co/qj9WN…";FALSE;0;NA;2016-06-22 05:56:34;FALSE;NA;"745495676537081856";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"melinaGALLOPIN";5;TRUE;FALSE;NA;NA;"EN"
"RT @andreamrau: Some great invited speakers in the lineup at #RR2016 #rstats: @hafenstats, @HeathrTurnr, A-L Boulesteix, P Martin, F Husson";FALSE;0;NA;2016-06-22 05:56:32;FALSE;NA;"745495669201264641";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"melinaGALLOPIN";3;TRUE;FALSE;NA;NA;"EN"
"@andreamrau @Natty_V2 I Guess #RR2016 #rstats is a nice combo";FALSE;3;"andreamrau";2016-06-22 05:51:06;FALSE;"745302298839101441";"745494301333852161";"2446051891";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"melinaGALLOPIN";0;FALSE;FALSE;NA;NA;"EN"
"RT @andreamrau: T-minus 1 day until the Rencontres R in Toulouse, looking forward to a great conference! #RR2016 #rstats https://t.co/qj9WN…";FALSE;0;NA;2016-06-22 02:21:04;FALSE;NA;"745441443351666688";NA;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";"PauMRau";5;TRUE;FALSE;NA;NA;"EN"
"RT @andreamrau: Some great invited speakers in the lineup at #RR2016 #rstats: @hafenstats, @HeathrTurnr, A-L Boulesteix, P Martin, F Husson";FALSE;0;NA;2016-06-22 02:20:37;FALSE;NA;"745441330415841281";NA;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";"PauMRau";3;TRUE;FALSE;NA;NA;"EN"
